x,y
-10.0,8940.00264777666
-9.310344827586206,6709.035739728953
-8.620689655172413,6681.321404246517
-7.931034482758621,3751.6668917693514
-7.241379310344827,2763.668236647217
-6.551724137931034,1331.126756502976
-5.862068965517241,2004.9329641262343
-5.172413793103448,536.6838734959265
-4.482758620689655,-7.075475608707677
-3.793103448275861,1397.295951338685
-3.1034482758620685,1023.5421991864055
-2.413793103448276,439.9775271359857
-1.7241379310344822,-456.9959908503226
-1.0344827586206886,1087.421596645801
-0.3448275862068968,1155.7878581593036
0.3448275862068968,1306.7339295290926
1.0344827586206904,-599.2322157656101
1.724137931034484,-398.46964640468786
2.4137931034482776,531.9317270332094
3.1034482758620694,1484.0949971933974
3.793103448275863,-287.9622110983786
4.482758620689657,-335.95007126646914
5.172413793103448,-378.99534297183345
5.862068965517242,-669.9975478159488
6.551724137931036,2615.796168732291
7.241379310344829,3630.7831417101697
7.931034482758623,3555.1983296277745
8.620689655172416,6126.468336828843
9.310344827586206,6298.597082716574
10.0,7928.058448843431
